date,telsa
2016-12-20,63
2016-12-21,47
2016-12-22,36
2016-12-23,68
2016-12-24,7
2016-12-25,43
2016-12-26,18
2016-12-27,53
2016-12-28,77
2016-12-29,60
2016-12-30,62
2016-12-31,34
2017-01-01,35
2017-01-02,18
2017-01-03,62
2017-01-04,100
2017-01-05,45
2017-01-06,69
2017-01-07,56
2017-01-08,37
2017-01-09,49
2017-01-10,53
2017-01-11,54
2017-01-12,43
2017-01-13,45
2017-01-14,61
2017-01-15,55
2017-01-16,48
2017-01-17,26
2017-01-18,32
2017-01-19,49
2017-01-20,44
2017-01-21,43
2017-01-22,66
2017-01-23,63
2017-01-24,37
2017-01-25,21
2017-01-26,32
2017-01-27,39
2017-01-28,49
2017-01-29,60
2017-01-30,57
2017-01-31,48
2017-02-01,68
2017-02-02,53
2017-02-03,44
2017-02-04,30
2017-02-05,83
2017-02-06,57
2017-02-07,79
2017-02-08,57
2017-02-09,59
2017-02-10,44
2017-02-11,60
2017-02-12,30
2017-02-13,47
2017-02-14,94
2017-02-15,65
2017-02-16,79
2017-02-17,63
2017-02-18,30
2017-02-19,67
2017-02-20,36
2017-02-21,73
2017-02-22,84
2017-02-23,48
2017-02-24,55
2017-02-25,30
2017-02-26,36
2017-02-27,77
2017-02-28,72
2017-03-01,35
2017-03-02,55
2017-03-03,37
2017-03-04,30
2017-03-05,53
2017-03-06,50
2017-03-07,59
2017-03-08,46
2017-03-09,77
2017-03-10,59
2017-03-11,60
2017-03-12,34
2017-03-13,34
2017-03-14,89
2017-03-15,79
2017-03-16,47
2017-03-17,44
2017-03-18,48
2017-03-19,59
2017-03-20,83
2017-03-21,52
2017-03-22,62
2017-03-23,58
2017-03-24,98
2017-03-25,55
2017-03-26,36
2017-03-27,42
2017-03-28,47
2017-03-29,37
2017-03-30,43
2017-03-31,72
2017-04-01,25
2017-04-02,55
2017-04-03,47
2017-04-04,68
2017-04-05,62
2017-04-06,48
2017-04-07,27
2017-04-08,55
2017-04-09,31
2017-04-10,48
2017-04-11,53
2017-04-12,59
2017-04-13,79
2017-04-14,54
2017-04-15,37
2017-04-16,56
2017-04-17,71
2017-04-18,68
2017-04-19,67
2017-04-20,37
2017-04-21,11
2017-04-22,36
2017-04-23,47
2017-04-24,99
2017-04-25,52
2017-04-26,57
2017-04-27,26
2017-04-28,60
2017-04-29,37
2017-04-30,43
2017-05-01,34
2017-05-02,24
2017-05-03,37
2017-05-04,42
2017-05-05,33
2017-05-06,37
2017-05-07,6
2017-05-08,25
2017-05-09,27
2017-05-10,34
2017-05-11,43
2017-05-12,38
2017-05-13,31
2017-05-14,17
2017-05-15,33
2017-05-16,29
2017-05-17,32
2017-05-18,31
2017-05-19,25
2017-05-20,16
2017-05-21,12
2017-05-22,24
2017-05-23,23
2017-05-24,18
2017-05-25,30
2017-05-26,23
2017-05-27,28
2017-05-28,16
2017-05-29,27
2017-05-30,28
2017-05-31,39
2017-06-01,45
2017-06-02,31
2017-06-03,12
2017-06-04,42
2017-06-05,18
2017-06-06,36
2017-06-07,15
2017-06-08,20
2017-06-09,37
2017-06-10,34
2017-06-11,37
2017-06-12,36
2017-06-13,20
2017-06-14,26
2017-06-15,19
2017-06-16,35
2017-06-17,19
2017-06-18,46
2017-06-19,15
2017-06-20,35
2017-06-21,30
2017-06-22,35
2017-06-23,40
2017-06-24,37
2017-06-25,25
2017-06-26,16
2017-06-27,16
2017-06-28,19
2017-06-29,24
2017-06-30,36
2017-07-01,15
2017-07-02,34
2017-07-03,44
2017-07-04,35
2017-07-05,27
2017-07-06,22
2017-07-07,41
2017-07-08,54
2017-07-09,47
2017-07-10,31
2017-07-11,39
2017-07-12,32
2017-07-13,27
2017-07-14,22
2017-07-15,22
2017-07-16,38
2017-07-17,38
2017-07-18,24
2017-07-19,34
2017-07-20,13
2017-07-21,36
2017-07-22,34
2017-07-23,21
2017-07-24,26
2017-07-25,24
2017-07-26,18
2017-07-27,24
2017-07-28,38
2017-07-29,88
2017-07-30,67
2017-07-31,36
2017-08-01,28
2017-08-02,49
2017-08-03,20
2017-08-04,29
2017-08-05,30
2017-08-06,24
2017-08-07,23
2017-08-08,37
2017-08-09,30
2017-08-10,23
2017-08-11,37
2017-08-12,41
2017-08-13,45
2017-08-14,18
2017-08-15,24
2017-08-16,21
2017-08-17,36
2017-08-18,24
2017-08-19,15
2017-08-20,32
2017-08-21,28
2017-08-22,38
2017-08-23,23
2017-08-24,21
2017-08-25,14
2017-08-26,30
2017-08-27,6
2017-08-28,28
2017-08-29,38
2017-08-30,28
2017-08-31,38
2017-09-01,8
2017-09-02,18
2017-09-03,9
2017-09-04,27
2017-09-05,17
2017-09-06,22
2017-09-07,33
2017-09-08,36
2017-09-09,17
2017-09-10,23
2017-09-11,27
2017-09-12,33
2017-09-13,27
2017-09-14,30
2017-09-15,21
2017-09-16,23
2017-09-17,26
2017-09-18,30
2017-09-19,34
2017-09-20,27
2017-09-21,25
2017-09-22,42
2017-09-23,40
2017-09-24,17
2017-09-25,15
2017-09-26,32
2017-09-27,25
2017-09-28,23
2017-09-29,32
2017-09-30,35
2017-10-01,23
2017-10-02,12
2017-10-03,13
2017-10-04,27
2017-10-05,15
2017-10-06,33
2017-10-07,20
2017-10-08,31
2017-10-09,20
2017-10-10,41
2017-10-11,34
2017-10-12,23
2017-10-13,31
2017-10-14,35
2017-10-15,37
2017-10-16,17
2017-10-17,17
2017-10-18,22
2017-10-19,13
2017-10-20,23
2017-10-21,20
2017-10-22,25
2017-10-23,37
2017-10-24,24
2017-10-25,29
2017-10-26,15
2017-10-27,44
2017-10-28,14
2017-10-29,39
2017-10-30,22
2017-10-31,25
2017-11-01,28
2017-11-02,20
2017-11-03,41
2017-11-04,25
2017-11-05,24
2017-11-06,12
2017-11-07,19
2017-11-08,29
2017-11-09,34
2017-11-10,10
2017-11-11,8
2017-11-12,16
2017-11-13,41
2017-11-14,24
2017-11-15,22
2017-11-16,39
2017-11-17,100
2017-11-18,99
2017-11-19,54
2017-11-20,75
2017-11-21,48
2017-11-22,29
2017-11-23,32
2017-11-24,50
2017-11-25,28
2017-11-26,22
2017-11-27,28
2017-11-28,35
2017-11-29,29
2017-11-30,34
2017-12-01,33
2017-12-02,38
2017-12-03,36
2017-12-04,34
2017-12-05,26
2017-12-06,29
2017-12-07,34
2017-12-08,33
2017-12-09,25
2017-12-10,27
2017-12-11,19
2017-12-12,38
2017-12-13,17
2017-12-14,29
2017-12-15,25
2017-12-16,17
2017-12-17,30
2017-12-18,29
2017-12-19,30
2017-12-20,28
2017-12-21,21
2017-12-22,27
2017-12-23,27
2017-12-24,43
2017-12-25,31
2017-12-26,3
2017-12-27,39
2017-12-28,29
2017-12-29,30
2017-12-30,23
2017-12-31,30
2018-01-01,17
2018-01-02,5
2018-01-03,17
2018-01-04,22
2018-01-05,14
2018-01-06,19
2018-01-07,15
2018-01-08,15
2018-01-09,19
2018-01-10,10
2018-01-11,27
2018-01-12,14
2018-01-13,19
2018-01-14,19
2018-01-15,10
2018-01-16,22
2018-01-17,17
2018-01-18,8
2018-01-19,19
2018-01-20,15
2018-01-21,19
2018-01-22,17
2018-01-23,20
2018-01-24,18
2018-01-25,22
2018-01-26,18
2018-01-27,25
2018-01-28,21
2018-01-29,20
2018-01-30,15
2018-01-31,10
2018-02-01,20
2018-02-02,17
2018-02-03,13
2018-02-04,34
2018-02-05,25
2018-02-06,46
2018-02-07,100
2018-02-08,35
2018-02-09,42
2018-02-10,15
2018-02-11,50
2018-02-12,29
2018-02-13,17
2018-02-14,19
2018-02-15,30
2018-02-16,21
2018-02-17,10
2018-02-18,21
2018-02-19,12
2018-02-20,27
2018-02-21,20
2018-02-22,15
2018-02-23,17
2018-02-24,19
2018-02-25,15
2018-02-26,21
2018-02-27,18
2018-02-28,11
2018-03-01,24
2018-03-02,20
2018-03-03,17
2018-03-04,17
2018-03-05,23
2018-03-06,11
2018-03-07,16
2018-03-08,20
2018-03-09,26
2018-03-10,15
2018-03-11,21
2018-03-12,21
2018-03-13,11
2018-03-14,13
2018-03-15,17
2018-03-16,19
2018-03-17,15
2018-03-18,17
2018-03-19,21
2018-03-20,16
2018-03-21,13
2018-03-22,10
2018-03-23,17
2018-03-24,33
2018-03-25,16
2018-03-26,27
2018-03-27,12
2018-03-28,17
2018-03-29,20
2018-03-30,28
2018-03-31,28
2018-04-01,20
2018-04-02,25
2018-04-03,23
2018-04-04,15
2018-04-05,20
2018-04-06,27
2018-04-07,17
2018-04-08,13
2018-04-09,21
2018-04-10,15
2018-04-11,21
2018-04-12,17
2018-04-13,14
2018-04-14,19
2018-04-15,15
2018-04-16,18
2018-04-17,10
2018-04-18,20
2018-04-19,21
2018-04-20,14
2018-04-21,20
2018-04-22,19
2018-04-23,15
2018-04-24,8
2018-04-25,10
2018-04-26,20
2018-04-27,18
2018-04-28,14
2018-04-29,25
2018-04-30,25
2018-05-01,24
2018-05-02,7
2018-05-03,30
2018-05-04,12
2018-05-05,20
2018-05-06,10
2018-05-07,25
2018-05-08,18
2018-05-09,17
2018-05-10,22
2018-05-11,19
2018-05-12,20
2018-05-13,19
2018-05-14,23
2018-05-15,25
2018-05-16,20
2018-05-17,24
2018-05-18,11
2018-05-19,20
2018-05-20,16
2018-05-21,12
2018-05-22,26
2018-05-23,20
2018-05-24,14
2018-05-25,18
2018-05-26,14
2018-05-27,16
2018-05-28,17
2018-05-29,18
2018-05-30,12
2018-05-31,19
2018-06-01,23
2018-06-02,22
2018-06-03,18
2018-06-04,25
2018-06-05,25
2018-06-06,13
2018-06-07,22
2018-06-08,26
2018-06-09,27
2018-06-10,10
2018-06-11,29
2018-06-12,14
2018-06-13,17
2018-06-14,16
2018-06-15,14
2018-06-16,23
2018-06-17,15
2018-06-18,21
2018-06-19,21
2018-06-20,23
2018-06-21,8
2018-06-22,9
2018-06-23,13
2018-06-24,19
2018-06-25,16
2018-06-26,20
2018-06-27,22
2018-06-28,22
2018-06-29,22
2018-06-30,10
2018-07-01,6
2018-07-02,10
2018-07-03,15
2018-07-04,17
2018-07-05,21
2018-07-06,13
2018-07-07,26
2018-07-08,27
2018-07-09,17
2018-07-10,14
2018-07-11,20
2018-07-12,17
2018-07-13,16
2018-07-14,18
2018-07-15,12
2018-07-16,24
2018-07-17,13
2018-07-18,31
2018-07-19,23
2018-07-20,25
2018-07-21,22
2018-07-22,20
2018-07-23,14
2018-07-24,22
2018-07-25,15
2018-07-26,22
2018-07-27,16
2018-07-28,25
2018-07-29,16
2018-07-30,17
2018-07-31,15
2018-08-01,13
2018-08-02,23
2018-08-03,19
2018-08-04,14
2018-08-05,23
2018-08-06,20
2018-08-07,20
2018-08-08,39
2018-08-09,26
2018-08-10,21
2018-08-11,19
2018-08-12,13
2018-08-13,20
2018-08-14,22
2018-08-15,10
2018-08-16,19
2018-08-17,26
2018-08-18,12
2018-08-19,24
2018-08-20,34
2018-08-21,9
2018-08-22,21
2018-08-23,15
2018-08-24,18
2018-08-25,21
2018-08-26,17
2018-08-27,28
2018-08-28,31
2018-08-29,15
2018-08-30,8
2018-08-31,20
2018-09-01,21
2018-09-02,17
2018-09-03,28
2018-09-04,24
2018-09-05,33
2018-09-06,29
2018-09-07,92
2018-09-08,82
2018-09-09,51
2018-09-10,41
2018-09-11,55
2018-09-12,21
2018-09-13,48
2018-09-14,28
2018-09-15,35
2018-09-16,34
2018-09-17,27
2018-09-18,38
2018-09-19,27
2018-09-20,42
2018-09-21,52
2018-09-22,28
2018-09-23,23
2018-09-24,44
2018-09-25,38
2018-09-26,35
2018-09-27,60
2018-09-28,50
2018-09-29,48
2018-09-30,44
2018-10-01,60
2018-10-02,56
2018-10-03,27
2018-10-04,27
2018-10-05,28
2018-10-06,24
2018-10-07,40
2018-10-08,51
2018-10-09,49
2018-10-10,30
2018-10-11,46
2018-10-12,33
2018-10-13,7
2018-10-14,35
2018-10-15,28
2018-10-16,42
2018-10-17,18
2018-10-18,22
2018-10-19,35
2018-10-20,28
2018-10-21,55
2018-10-22,36
2018-10-23,12
2018-10-24,39
2018-10-25,24
2018-10-26,10
2018-10-27,43
2018-10-28,23
2018-10-29,23
2018-10-30,30
2018-10-31,15
2018-11-01,10
2018-11-02,38
2018-11-03,21
2018-11-04,20
2018-11-05,34
2018-11-06,9
2018-11-07,46
2018-11-08,36
2018-11-09,38
2018-11-10,21
2018-11-11,34
2018-11-12,24
2018-11-13,32
2018-11-14,33
2018-11-15,43
2018-11-16,41
2018-11-17,35
2018-11-18,38
2018-11-19,45
2018-11-20,33
2018-11-21,18
2018-11-22,25
2018-11-23,12
2018-11-24,24
2018-11-25,37
2018-11-26,47
2018-11-27,20
2018-11-28,39
2018-11-29,27
2018-11-30,24
2018-12-01,28
2018-12-02,21
2018-12-03,30
2018-12-04,33
2018-12-05,18
2018-12-06,27
2018-12-07,44
2018-12-08,42
2018-12-09,34
2018-12-10,52
2018-12-11,27
2018-12-12,25
2018-12-13,25
2018-12-14,31
2018-12-15,18
2018-12-16,21
2018-12-17,37
2018-12-18,38
2018-12-19,54
2018-12-20,46
2018-12-21,13
2018-12-22,36
2018-12-23,34
2018-12-24,29
2018-12-25,23
2018-12-26,27
2018-12-27,55
2018-12-28,27
2018-12-29,28
2018-12-30,22
2018-12-31,25
2019-01-01,37
2019-01-02,35
2019-01-03,9
2019-01-04,25
2019-01-05,17
2019-01-06,27
2019-01-07,36
2019-01-08,42
2019-01-09,30
2019-01-10,52
2019-01-11,31
2019-01-12,41
2019-01-13,37
2019-01-14,33
2019-01-15,18
2019-01-16,30
2019-01-17,30
2019-01-18,40
2019-01-19,31
2019-01-20,46
2019-01-21,24
2019-01-22,21
2019-01-23,38
2019-01-24,15
2019-01-25,24
2019-01-26,24
2019-01-27,40
2019-01-28,21
2019-01-29,29
2019-01-30,29
2019-01-31,36
2019-02-01,21
2019-02-02,30
2019-02-03,17
2019-02-04,24
2019-02-05,27
2019-02-06,29
2019-02-07,29
2019-02-08,42
2019-02-09,33
2019-02-10,26
2019-02-11,14
2019-02-12,37
2019-02-13,29
2019-02-14,36
2019-02-15,34
2019-02-16,27
2019-02-17,7
2019-02-18,12
2019-02-19,35
2019-02-20,20
2019-02-21,32
2019-02-22,33
2019-02-23,41
2019-02-24,33
2019-02-25,35
2019-02-26,32
2019-02-27,40
2019-02-28,38
2019-03-01,71
2019-03-02,47
2019-03-03,67
2019-03-04,54
2019-03-05,42
2019-03-06,46
2019-03-07,33
2019-03-08,34
2019-03-09,41
2019-03-10,43
2019-03-11,24
2019-03-12,38
2019-03-13,55
2019-03-14,48
2019-03-15,100
2019-03-16,68
2019-03-17,37
2019-03-18,30
2019-03-19,31
2019-03-20,42
2019-03-21,49
2019-03-22,47
2019-03-23,10
2019-03-24,49
2019-03-25,30
2019-03-26,24
2019-03-27,21
2019-03-28,30
2019-03-29,41
2019-03-30,45
2019-03-31,24
2019-04-01,30
2019-04-02,33
2019-04-03,33
2019-04-04,51
2019-04-05,40
2019-04-06,24
2019-04-07,20
2019-04-08,27
2019-04-09,27
2019-04-10,26
2019-04-11,42
2019-04-12,44
2019-04-13,35
2019-04-14,24
2019-04-15,18
2019-04-16,18
2019-04-17,25
2019-04-18,47
2019-04-19,31
2019-04-20,46
2019-04-21,47
2019-04-22,35
2019-04-23,57
2019-04-24,66
2019-04-25,57
2019-04-26,56
2019-04-27,40
2019-04-28,24
2019-04-29,38
2019-04-30,33
2019-05-01,10
2019-05-02,4
2019-05-03,15
2019-05-04,7
2019-05-05,10
2019-05-06,10
2019-05-07,11
2019-05-08,11
2019-05-09,21
2019-05-10,24
2019-05-11,20
2019-05-12,13
2019-05-13,11
2019-05-14,15
2019-05-15,8
2019-05-16,11
2019-05-17,7
2019-05-18,20
2019-05-19,10
2019-05-20,10
2019-05-21,10
2019-05-22,10
2019-05-23,12
2019-05-24,11
2019-05-25,12
2019-05-26,17
2019-05-27,11
2019-05-28,7
2019-05-29,9
2019-05-30,12
2019-05-31,14
2019-06-01,10
2019-06-02,14
2019-06-03,12
2019-06-04,13
2019-06-05,8
2019-06-06,10
2019-06-07,12
2019-06-08,9
2019-06-09,8
2019-06-10,9
2019-06-11,17
2019-06-12,13
2019-06-13,11
2019-06-14,10
2019-06-15,13
2019-06-16,8
2019-06-17,7
2019-06-18,12
2019-06-19,7
2019-06-20,9
2019-06-21,11
2019-06-22,12
2019-06-23,11
2019-06-24,9
2019-06-25,17
2019-06-26,13
2019-06-27,9
2019-06-28,11
2019-06-29,11
2019-06-30,10
2019-07-01,5
2019-07-02,9
2019-07-03,11
2019-07-04,8
2019-07-05,10
2019-07-06,6
2019-07-07,11
2019-07-08,10
2019-07-09,11
2019-07-10,15
2019-07-11,14
2019-07-12,4
2019-07-13,18
2019-07-14,16
2019-07-15,11
2019-07-16,9
2019-07-17,7
2019-07-18,9
2019-07-19,9
2019-07-20,7
2019-07-21,9
2019-07-22,13
2019-07-23,11
2019-07-24,9
2019-07-25,12
2019-07-26,7
2019-07-27,9
2019-07-28,6
2019-07-29,6
2019-07-30,11
2019-07-31,10
2019-08-01,10
2019-08-02,8
2019-08-03,12
2019-08-04,9
2019-08-05,8
2019-08-06,13
2019-08-07,7
2019-08-08,10
2019-08-09,2
2019-08-10,8
2019-08-11,12
2019-08-12,8
2019-08-13,8
2019-08-14,6
2019-08-15,12
2019-08-16,10
2019-08-17,10
2019-08-18,11
2019-08-19,10
2019-08-20,7
2019-08-21,10
2019-08-22,12
2019-08-23,4
2019-08-24,13
2019-08-25,7
2019-08-26,8
2019-08-27,12
2019-08-28,9
2019-08-29,9
2019-08-30,5
2019-08-31,11
2019-09-01,6
2019-09-02,6
2019-09-03,12
2019-09-04,9
2019-09-05,5
2019-09-06,8
2019-09-07,10
2019-09-08,10
2019-09-09,9
2019-09-10,10
2019-09-11,10
2019-09-12,13
2019-09-13,7
2019-09-14,11
2019-09-15,9
2019-09-16,8
2019-09-17,12
2019-09-18,4
2019-09-19,9
2019-09-20,15
2019-09-21,5
2019-09-22,10
2019-09-23,11
2019-09-24,10
2019-09-25,8
2019-09-26,8
2019-09-27,10
2019-09-28,18
2019-09-29,16
2019-09-30,9
2019-10-01,7
2019-10-02,12
2019-10-03,8
2019-10-04,9
2019-10-05,11
2019-10-06,8
2019-10-07,12
2019-10-08,12
2019-10-09,13
2019-10-10,11
2019-10-11,10
2019-10-12,10
2019-10-13,10
2019-10-14,12
2019-10-15,9
2019-10-16,11
2019-10-17,10
2019-10-18,10
2019-10-19,12
2019-10-20,8
2019-10-21,11
2019-10-22,17
2019-10-23,12
2019-10-24,9
2019-10-25,13
2019-10-26,7
2019-10-27,9
2019-10-28,14
2019-10-29,16
2019-10-30,8
2019-10-31,8
2019-11-01,5
2019-11-02,11
2019-11-03,8
2019-11-04,7
2019-11-05,4
2019-11-06,11
2019-11-07,9
2019-11-08,7
2019-11-09,10
2019-11-10,9
2019-11-11,9
2019-11-12,12
2019-11-13,13
2019-11-14,6
2019-11-15,16
2019-11-16,10
2019-11-17,7
2019-11-18,8
2019-11-19,11
2019-11-20,11
2019-11-21,11
2019-11-22,100
2019-11-23,90
2019-11-24,56
2019-11-25,46
2019-11-26,40
2019-11-27,33
2019-11-28,19
2019-11-29,27
2019-11-30,16
2019-12-01,17
2019-12-02,17
2019-12-03,13
2019-12-04,16
2019-12-05,12
2019-12-06,12
2019-12-07,10
2019-12-08,19
2019-12-09,16
2019-12-10,12
2019-12-11,20
2019-12-12,10
2019-12-13,6
2019-12-14,8
2019-12-15,11
2019-12-16,12
2019-12-17,11
2019-12-18,8
2019-12-19,7
2019-12-20,13
2019-12-21,9
2019-12-22,14
2019-12-23,14
2019-12-24,20
2019-12-25,12
2019-12-26,10
2019-12-27,6
2019-12-28,11
2019-12-29,12
2019-12-30,14
2019-12-31,8
2020-01-01,38
2020-01-02,38
2020-01-03,30
2020-01-04,52
2020-01-05,52
2020-01-06,36
2020-01-07,34
2020-01-08,41
2020-01-09,34
2020-01-10,32
2020-01-11,40
2020-01-12,17
2020-01-13,47
2020-01-14,51
2020-01-15,32
2020-01-16,56
2020-01-17,44
2020-01-18,32
2020-01-19,11
2020-01-20,33
2020-01-21,43
2020-01-22,25
2020-01-23,51
2020-01-24,45
2020-01-25,29
2020-01-26,22
2020-01-27,27
2020-01-28,28
2020-01-29,26
2020-01-30,67
2020-01-31,54
2020-02-01,43
2020-02-02,40
2020-02-03,52
2020-02-04,100
2020-02-05,92
2020-02-06,51
2020-02-07,31
2020-02-08,31
2020-02-09,25
2020-02-10,47
2020-02-11,39
2020-02-12,35
2020-02-13,51
2020-02-14,45
2020-02-15,40
2020-02-16,42
2020-02-17,45
2020-02-18,47
2020-02-19,73
2020-02-20,64
2020-02-21,41
2020-02-22,42
2020-02-23,28
2020-02-24,49
2020-02-25,57
2020-02-26,41
2020-02-27,24
2020-02-28,57
2020-02-29,38
2020-03-01,46
2020-03-02,57
2020-03-03,24
2020-03-04,12
2020-03-05,41
2020-03-06,35
2020-03-07,33
2020-03-08,38
2020-03-09,38
2020-03-10,46
2020-03-11,45
2020-03-12,26
2020-03-13,34
2020-03-14,36
2020-03-15,27
2020-03-16,26
2020-03-17,42
2020-03-18,14
2020-03-19,36
2020-03-20,35
2020-03-21,13
2020-03-22,26
2020-03-23,15
2020-03-24,30
2020-03-25,36
2020-03-26,14
2020-03-27,27
2020-03-28,25
2020-03-29,26
2020-03-30,27
2020-03-31,31
2020-04-01,20
2020-04-02,31
